factor,sample_split,gold_regime,forward_horizon,percentile_bucket,count,avg_forward_return,median_forward_return,win_rate,max_drawdown_after_signal
mm_net_percentile_156w,all,bear,2W,60-70 percentile,6,-0.02501600286517867,-0.032372885224980275,0.16666666666666666,-0.04083647639020693
mm_net_percentile_156w,all,bear,2W,70-80 percentile,0,,,,
mm_net_percentile_156w,all,bear,2W,80-90 percentile,1,-0.028174692968280013,-0.028174692968280013,0.0,-0.028174692968280013
mm_net_percentile_156w,all,bear,2W,90-100 percentile,0,,,,
mm_net_percentile_156w,all,bear,4W,0-10 percentile,97,0.01808513809247248,0.0004654193216739877,0.5154639175257731,-0.13932848829941735
mm_net_percentile_156w,all,bear,4W,10-20 percentile,13,0.0008511316370013284,-0.0012953170734985031,0.46153846153846156,-0.07163064122998886
mm_net_percentile_156w,all,bear,4W,20-30 percentile,10,-0.03063820424890623,-0.04222424329967128,0.3,-0.0892351274787535
mm_net_percentile_156w,all,bear,4W,30-40 percentile,28,-0.0009716001951748654,0.00508995839539883,0.5357142857142857,-0.07716319545461392
mm_net_percentile_156w,all,bear,4W,40-50 percentile,6,-0.015110885413969155,-0.010396308516169572,0.5,-0.08026809294722637
mm_net_percentile_156w,all,bear,4W,50-60 percentile,7,-0.012669766116758439,-0.0027494808299154405,0.42857142857142855,-0.08730755312084082
mm_net_percentile_156w,all,bear,4W,60-70 percentile,6,-0.03019134261379604,-0.040830789764966735,0.16666666666666666,-0.05805456432067857
mm_net_percentile_156w,all,bear,4W,70-80 percentile,0,,,,
mm_net_percentile_156w,all,bear,4W,80-90 percentile,1,-0.06763553784432508,-0.06763553784432508,0.0,-0.06763553784432508
mm_net_percentile_156w,all,bear,4W,90-100 percentile,0,,,,
mm_net_percentile_156w,all,bear,8W,0-10 percentile,93,0.03320950743717332,-0.0010785213408140981,0.4946236559139785,-0.15433866200250246
mm_net_percentile_156w,all,bear,8W,10-20 percentile,13,-0.027642700168375906,-0.031169042682906323,0.07692307692307693,-0.09865971705137755
