feature_group,window,feature_name,bucket,count,avg_forward_return_1w,median_forward_return_1w,win_rate_1w,avg_forward_return_2w,median_forward_return_2w,win_rate_2w,avg_forward_return_4w,median_forward_return_4w,win_rate_4w,avg_forward_return_8w,median_forward_return_8w,win_rate_8w,best_return_8w,worst_return_8w
net,8W,mm_net_velocity_8w,<= -40,60,-0.004119365516178747,-0.005627391304501,0.4166666666666667,-0.007075801940731042,-0.0085266129907517,0.4166666666666667,-0.015962569975188124,-0.014888120136776099,0.31666666666666665,-0.02674821941650877,-0.0391861197519908,0.23333333333333334,0.141108139777025,-0.1159048295679646
net,8W,mm_net_velocity_8w,-40 to -20,106,-0.0028655921242017072,-0.00412290378587445,0.39622641509433965,-0.00463879232252108,-0.007058698333294399,0.37735849056603776,-0.0016166539505234614,-0.008733436243197949,0.4056603773584906,0.004679637705152669,-0.0162393166973128,0.39622641509433965,0.2490795911429133,-0.1339790371346169
net,8W,mm_net_velocity_8w,-20 to 0,255,-0.0017481657201650496,-0.0014046708862266,0.4666666666666667,-0.003907341627742636,-0.003076923076923,0.41568627450980394,-0.007144936510192324,-0.0098532713297179,0.39215686274509803,-0.007732082794150234,-0.0184142079371528,0.3137254901960784,0.2133711803970932,-0.1417529499061852
net,8W,mm_net_velocity_8w,0 to 20,249,0.0056246774483453945,0.0058176015888986,0.6626506024096386,0.009119696667614547,0.0107362832820436,0.6385542168674698,0.013381999747136324,0.0154481215794093,0.6746987951807228,0.022244989078622563,0.018368515099461,0.678714859437751,0.1670846259744731,-0.1351957658134761
net,8W,mm_net_velocity_8w,20 to 40,71,0.0052788031164711655,0.0051645322389239,0.647887323943662,0.013997548546718282,0.0187921483394111,0.704225352112676,0.03197080106904741,0.0318098849965633,0.7746478873239436,0.05275360900651519,0.0473845560589993,0.9154929577464789,0.2391145624670039,-0.045643465696193
net,8W,mm_net_velocity_8w,>= 40,74,0.008576673384775175,0.00954514003310485,0.6756756756756757,0.019739532786822764,0.0172766835267841,0.8108108108108109,0.041833864373773816,0.0429660401492796,0.8783783783783784,0.07597531285943018,0.07403380799290465,0.972972972972973,0.1791862139719482,-0.0055338032016108
net,12W,mm_net_velocity_12w,<= -40,88,-0.0014868912624115165,-0.0032718518232683503,0.45454545454545453,-0.0067774019920671365,-0.0079812734782945,0.36363636363636365,-0.015616533279829531,-0.01634530489119425,0.2840909090909091,-0.020903578199846617,-0.022333452343162002,0.29545454545454547,0.1406378668675103,-0.1159048295679646
net,12W,mm_net_velocity_12w,-40 to -20,108,-0.0017165613683440561,-0.00116431712363625,0.4722222222222222,-0.0016647868418008535,-0.0003293011060420266,0.5,-0.004342536779529748,-0.00688363559183835,0.4444444444444444,0.007078128989389289,-0.0115367061592338,0.4351851851851852,0.2490795911429133,-0.1339790371346169
net,12W,mm_net_velocity_12w,-20 to 0,223,-0.002763433469008416,-0.001237317869446,0.4798206278026906,-0.0038862797440791055,-0.0027467811158797,0.4260089686098655,-0.003457680796504013,-0.0054270862008112,0.452914798206278,-0.0036942068559970183,-0.0149797241375674,0.34977578475336324,0.2078951875901724,-0.1417529499061852
net,12W,mm_net_velocity_12w,0 to 20,221,0.006259897236924348,0.0058102601980287,0.6425339366515838,0.009687361719114048,0.0100066715215201,0.6289592760180995,0.013823874165264219,0.0167996929156073,0.6289592760180995,0.017223297669120653,0.0118960115742503,0.6063348416289592,0.2391145624670039,-0.1288602339440093
net,12W,mm_net_velocity_12w,20 to 40,89,0.005695895118396769,0.0051645322389239,0.6292134831460674,0.014406194617435624,0.0159425014092557,0.7078651685393258,0.027147840153071878,0.0288228130951726,0.7865168539325843,0.046937906949518965,0.0386468876658918,0.8651685393258427,0.175924517683228,-0.0473088164505134
net,12W,mm_net_velocity_12w,>= 40,82,0.004975723301148025,0.006652554011897649,0.5853658536585366,0.011847049575090786,0.015197068563022,0.6707317073170732,0.03360655757749876,0.030293418933070297,0.7682926829268293,0.06580892868067989,0.06597840404736185,0.926829268292683,0.1791862139719482,-0.045643465696193
net,26W,mm_net_velocity_26w,<= -40,111,-0.0018687295715466702,-0.0014684888875875,0.4594594594594595,-0.005899880496796179,-0.0076238881829733,0.4144144144144144,-0.010886452520470751,-0.0154252485795454,0.36936936936936937,-0.01048220222231005,-0.0247205090681803,0.3333333333333333,0.1656880613400173,-0.1339790371346169
