window,historical_start_date,historical_end_date,similarity_score,current_path,historical_path,historical_gold_return_1w,historical_gold_return_2w,historical_gold_return_4w,historical_gold_return_8w
12W,2015-11-17,2016-02-09,85.66090202602183,"[28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[1.2821, 0.641, 0.641, 1.2821, 0.641, 1.9231, 1.2821, 4.4872, 8.9744, 9.6154, 16.6667, 24.359, 62.8205]",0.0633370879545096,0.0686458084620185,0.104181999013857,0.1277635936010763
12W,2012-06-26,2012-09-18,85.64827065734684,"[28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[2.027, 6.0403, 3.3333, 3.9735, 0.6579, 4.5752, 1.2987, 1.2903, 8.9744, 17.9487, 21.7949, 27.5641, 32.6923]",0.0211340654544409,0.0445980264109995,0.0783584353234663,0.1220812337652681
12W,2013-12-03,2014-02-25,85.50482276663813,"[28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[0.641, 1.2821, 1.2821, 1.2821, 3.8462, 5.7692, 6.4103, 7.0513, 16.6667, 14.1026, 21.7949, 32.6923, 48.0769]",0.0138144859233491,0.0410045929890328,0.0735411670663468,0.1173974313335461
12W,2014-09-16,2014-12-09,85.40876935703257,"[28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[13.4615, 7.0513, 8.9744, 7.0513, 17.3077, 34.6154, 33.3333, 14.1026, 9.6154, 23.7179, 31.4103, 42.9487, 62.1795]",0.0269346648960091,0.028736133251715,0.0590814828749888,-0.0017023148731338
12W,2012-07-03,2012-09-25,85.2942652613228,"[28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[6.0403, 3.3333, 3.9735, 0.6579, 4.5752, 1.2987, 1.2903, 8.9744, 17.9487, 21.7949, 27.5641, 32.6923, 42.9487]",-0.0026012076014654,0.0184778837612655,0.0583858678836632,0.0951878601851132
12W,2013-11-26,2014-02-18,85.24337368533865,"[28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[0.641, 0.641, 1.2821, 1.2821, 1.2821, 3.8462, 5.7692, 6.4103, 7.0513, 16.6667, 14.1026, 21.7949, 32.6923]",0.0268196079689273,0.0583206861449945,0.0663285028616706,0.0992448576955502
12W,2011-11-29,2012-02-21,85.18054124187425,"[28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[7.6271, 9.2437, 5.8333, 0.8264, 0.8197, 0.813, 0.8065, 3.2, 4.7619, 17.3228, 25.7812, 20.155, 30.7692]",0.0240106944377156,0.0061268615565124,0.0558226337818634,0.1021829315038662
12W,2022-11-08,2023-01-31,85.13384954921179,"[28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[5.7692, 11.5385, 10.8974, 9.6154, 12.8205, 17.9487, 18.5897, 26.2821, 28.8462, 33.9744, 39.7436, 47.4359, 52.5641]",-0.0022752077969467,0.0116925594583949,0.0488123341911941,0.0905442529535798
12W,2010-12-07,2011-03-01,84.68581823466663,"[28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[31.3433, 17.6471, 13.0435, 18.5714, 9.8592, 1.3889, 1.3699, 2.7027, 1.3333, 6.5789, 15.5844, 26.9231, 46.8354]",0.0215636923754909,0.0415695811013538,0.0680053577532282,0.0378672115864164
12W,2022-10-04,2022-12-27,84.59679498004257,"[28.2051, 30.1282, 20.5128, 23.0769, 20.5128, 25.641, 24.359, 20.5128, 26.9231, 31.4103, 26.2821, 30.1282, 42.9487]","[4.4872, 5.7692, 1.9231, 1.2821, 1.2821, 5.7692, 11.5385, 10.8974, 9.6154, 12.8205, 17.9487, 18.5897, 26.2821]",-0.000605746776336,0.0004961819295157,0.0379775929346117,0.1032219141812309
